chr8	134069730	134077776
chr8	128451975	128460023
chr8	72874543	72882593
chr8	72146429	72154468
chr8	91557655	91565704
chr8	120347374	120355418
chr8	125581834	125589880
chr11	24326949	24334995
chr11	60531157	60539204
chr11	93135637	93143687
chr11	93419971	93428022
chr11	95435214	95443260
chr11	109176481	109184528
chr11	90399050	90407101
chr11	78676759	78684806
chr16	63387072	63395120
chr16	83636249	83644311
chr16	33951564	33959614
chr16	21041661	21049705
chr16	18820240	18828286
chr16	16839523	16847570
chr16	9583477	9591524
chr4	169514488	169522534
chr4	136292503	136300550
chr4	93637294	93645340
chr4	90674713	90682759
chr4	74716542	74724589
chr4	21158389	21166435
chr4	59077843	59085891
chr4	78346978	78355029
chr4	79936712	79944762
chr4	111893798	111901844
chr17	9614984	9623031
chr10	5244352	5252399
chr10	109811408	109819459
chr10	106843565	106851614
chr10	98781926	98789973
chr10	33509832	33517879
chr10	19087567	19095620
chr2	175480952	175488998
chr2	173698364	173706412
chr2	128857971	128866018
chr2	102565341	102573387
chr2	86654222	86662271
chr2	16592712	16600760
chr2	158350220	158358260
chr2	165484930	165492977
chr2	166987450	166995506
chr2	196904585	196912633
chrX	11706247	11714295
chrX	23237515	23245560
chrX	142476843	142484883
chrX	155515003	155523050
chrX	141420202	141428248
chrX	96056798	96064845
chrX	83058591	83066639
chrX	64012236	64020288
chrX	54117700	54125747
chrX	47782657	47790701
chrX	36464177	36472219
chrX	34247263	34254915
chrX	11934270	11942317
chr12	126297996	126306043
chr12	54787569	54795619
chr12	57645477	57653513
chr12	64194585	64202633
chr12	92312990	92321037
chr7	141919668	141927714
chr7	113775109	113783154
chr7	111242502	111250548
chr7	110705991	110714038
chr7	93786632	93794681
chr7	63147816	63155861
chr7	49679257	49687303
chr7	30438241	30446292
chr5	39786648	39794702
chr5	58383173	58391220
chr5	102130355	102138402
chr5	104517585	104525632
chr5	109258386	109266432
chr5	111301230	111309277
chr5	146608478	146616530
chr5	177771244	177779289
chr5	173401783	173409831
chr5	152885441	152893475
chr5	139004438	139012491
chr5	79777896	79785946
chr3	3962073	3972536
chr3	65508290	65516335
chr3	109198871	109206917
chr3	130627721	130635079
chr3	159094350	159102396
chr3	141756134	141764155
chr3	136478061	136486105
chr3	103555522	103563571
chr3	81050376	81058427
chr3	77762664	77770680
chr1	237018446	237026499
chr1	209912777	209920825
chr1	187342751	187350797
chr1	180865798	180873845
chr1	174589336	174597381
chr1	174376771	174384818
chr1	86678067	86686114
chr1	84051363	84059409
chr1	80938220	80946267
chr1	71512709	71520756
chr1	71887202	71895252
chr1	113496198	113504246
chr1	118851349	118859396
chr1	187596667	187604713
chr1	247686171	247694218
chr6	44869633	44877680
chr6	104488391	104496438
chr6	117101130	117109177
chr6	128997384	129005430
chr6	156360250	156368290
chr6	133019702	133027748
chr6	72987641	72995688
chr6	24810663	24818709
chr6	2416758	2424805
chr9	28110895	28118938
chr9	19535187	19543234
chr9	90148602	90156653
chr9	95696578	95704618
chr13	29640693	29648739
chr13	40355287	40363335
chr13	42423879	42431926
chr15	54925054	54933102
chr15	70728652	70736174
chr15	71173133	71181170
chr15	87508887	87516934
chr15	93674398	93682446
chr22	48984748	48992794
chr22	28662282	28670329
chr20	12800002	12808049
chr20	7115168	7123202
chr14	70546288	70554336
chr14	63115693	63123738
chr14	26628254	26636301
chr18	37818736	37826785
chr18	70745536	70753583
chr18	59402926	59410973
chr18	50342942	50350991
chr18	24618029	24626075
chrY	5605152	5613201
